customer_id,tenure_months,contract,plan,monthly_fee,support_tickets_90d,autopay,logins_30d,churned
U10210,40,monthly,standard,22.47,2,0,30,0
U10211,29,monthly,standard,107.76,0,0,7,0
U10212,33,one_year,premium,20.4,1,0,10,1
U10213,42,one_year,standard,21.62,1,1,4,0
U10214,58,monthly,standard,28.54,2,0,6,0
U10215,70,monthly,standard,93.76,3,0,4,1
U10216,53,monthly,basic,72.26,1,1,15,0
U10217,46,one_year,premium,46.81,1,0,11,0
U10218,9,two_year,basic,50.64,0,1,6,0
U10219,38,one_year,premium,92.67,1,0,20,0
U10220,3,monthly,premium,58.29,0,1,13,0
U10221,21,monthly,basic,41.97,4,1,20,0
U10222,30,monthly,standard,43.06,1,1,8,1
U10223,51,monthly,premium,102.72,2,0,44,0
U10224,44,monthly,standard,27.87,2,1,30,0
U10225,69,monthly,basic,115.71,1,0,10,0
U10226,34,monthly,standard,62.85,0,1,25,0
U10227,51,monthly,standard,125.36,1,0,4,0
U10228,36,one_year,standard,65.09,2,1,3,0
U10229,55,two_year,basic,53.66,0,0,7,0
U10230,53,two_year,premium,19.0,0,0,10,0
U10231,23,monthly,premium,15.0,0,0,22,1
U10232,26,monthly,standard,53.51,2,1,20,0
U10233,23,monthly,standard,39.28,1,0,4,0
U10234,43,monthly,premium,43.8,1,0,14,0
U10235,26,two_year,premium,41.67,1,1,21,0
U10236,65,two_year,basic,49.97,2,0,9,0
U10237,34,monthly,standard,29.15,5,0,1,1
U10238,55,monthly,premium,,0,1,12,0
U10239,64,monthly,basic,69.99,1,1,13,0
U10240,41,monthly,standard,96.37,3,0,13,1
U10241,34,monthly,basic,70.13,2,0,3,0
U10242,62,two_year,standard,46.19,0,0,13,0
U10243,13,one_year,basic,88.48,2,0,6,0
U10244,67,one_year,standard,104.62,1,1,3,0
U10245,38,two_year,standard,61.83,3,1,19,0
U10246,65,monthly,standard,77.67,1,1,24,0
U10247,19,monthly,basic,73.06,1,1,23,0
U10248,65,one_year,basic,65.33,1,1,9,0
U10249,46,monthly,standard,89.09,2,1,10,0
U10250,1,two_year,basic,,0,1,18,0
U10251,25,monthly,standard,93.79,2,0,8,1
U10252,68,one_year,basic,39.92,1,1,4,0
U10253,68,two_year,standard,46.84,3,1,21,0
U10254,43,two_year,standard,93.84,1,1,15,0
U10255,32,monthly,basic,58.21,1,1,2,0
U10256,40,one_year,basic,76.1,1,0,9,0
U10257,42,one_year,standard,33.97,1,0,3,0
U10258,2,monthly,basic,79.55,1,1,6,1
U10259,42,two_year,premium,98.63,1,1,7,0
U10260,14,two_year,basic,45.36,5,0,12,0
U10261,30,one_year,premium,77.51,1,1,11,0
U10262,33,monthly,basic,72.36,2,1,4,0
U10263,70,monthly,basic,62.78,2,1,15,0
U10264,68,two_year,premium,33.77,1,0,25,0
U10265,4,monthly,basic,78.06,2,0,7,0
U10266,31,monthly,premium,82.3,3,0,4,0
U10267,53,monthly,basic,67.37,0,1,7,0
U10268,61,monthly,standard,41.2,1,1,13,0
U10269,19,monthly,premium,87.36,3,1,6,0
U10270,29,monthly,basic,72.97,2,1,7,0
U10271,5,one_year,basic,60.59,0,0,40,0
U10272,6,one_year,basic,84.96,0,0,4,0
U10273,13,one_year,standard,51.15,1,1,13,0
U10274,11,monthly,basic,67.99,1,1,6,0
U10275,54,one_year,basic,71.5,0,0,11,0
U10276,29,monthly,basic,75.45,1,1,2,0
U10277,65,monthly,basic,41.38,2,0,12,0
U10278,13,two_year,basic,62.5,0,0,5,1
U10279,56,monthly,basic,67.64,1,1,3,0
U10280,25,monthly,standard,71.99,3,1,8,1
U10281,21,monthly,premium,78.24,1,0,19,0
U10282,21,monthly,basic,61.89,3,0,26,0
U10283,36,monthly,basic,87.68,2,0,19,0
U10284,64,two_year,standard,58.81,1,1,13,0
U10285,9,monthly,basic,42.29,2,1,9,1
U10286,42,two_year,premium,72.76,2,1,9,0
U10287,30,two_year,basic,48.14,0,1,11,0
U10288,45,one_year,basic,46.93,0,1,17,0
U10289,19,two_year,standard,116.48,0,1,6,0
U10290,21,monthly,standard,67.97,0,1,4,1
U10291,3,two_year,basic,67.5,0,0,2,0
U10292,69,one_year,premium,94.98,0,1,14,0
U10293,21,monthly,standard,41.19,2,0,13,1
U10294,10,monthly,standard,41.79,3,0,4,1
U10295,66,two_year,standard,116.57,1,1,2,0
U10296,37,monthly,premium,61.24,0,0,12,0
U10297,38,monthly,basic,53.96,2,0,7,0
U10298,41,one_year,standard,85.54,1,1,13,0
U10299,20,one_year,standard,15.0,0,0,18,0
U10300,4,monthly,basic,69.74,1,0,8,0
U10301,9,two_year,basic,55.38,1,1,2,0
U10302,67,one_year,standard,90.66,1,0,16,0
U10303,64,monthly,standard,81.91,1,0,7,0
U10304,57,monthly,basic,84.31,1,0,3,1
U10305,7,monthly,standard,94.67,3,0,9,1
U10306,42,monthly,standard,73.76,0,1,16,0
U10307,3,one_year,basic,42.22,2,0,13,0
U10308,15,two_year,premium,85.15,2,0,16,0
U10309,8,two_year,standard,81.36,0,0,13,0
U10310,65,monthly,basic,95.46,3,1,11,0
U10311,54,one_year,basic,79.95,0,0,8,0
U10312,53,monthly,basic,70.73,2,0,3,0
U10313,67,monthly,basic,107.73,3,1,5,0
U10314,45,monthly,basic,38.17,0,1,28,0
U10315,7,two_year,basic,79.96,0,1,22,0
U10316,10,one_year,premium,44.3,0,0,9,0
U10317,46,two_year,standard,37.32,2,0,6,0
U10318,24,monthly,basic,70.69,2,1,2,1
U10319,47,monthly,premium,62.22,1,1,10,0
U10320,24,one_year,premium,15.0,3,0,12,0
U10321,38,two_year,standard,82.79,0,1,26,0
U10322,61,monthly,basic,58.43,1,1,5,0
U10323,1,monthly,basic,83.41,3,0,29,0
U10324,41,monthly,basic,104.38,1,1,4,0
U10325,50,two_year,premium,63.77,0,1,7,0
U10326,21,monthly,standard,45.73,0,1,4,0
U10327,31,one_year,basic,66.08,2,0,4,1
U10328,55,two_year,standard,39.34,1,1,15,0
U10329,67,two_year,premium,53.5,1,0,1,0
U10330,41,one_year,basic,76.37,1,1,1,0
U10331,71,monthly,basic,68.83,1,0,7,1
U10332,22,one_year,standard,68.8,0,0,11,0
U10333,46,monthly,basic,39.16,1,0,5,0
U10334,30,one_year,standard,92.51,1,0,5,0
U10335,9,monthly,basic,15.0,0,0,18,0
U10336,49,monthly,basic,60.95,1,1,18,0
U10337,23,monthly,basic,56.47,0,0,13,0
U10338,41,two_year,premium,36.87,1,0,8,0
U10339,45,two_year,standard,69.82,0,0,9,0
U10340,43,two_year,premium,49.5,0,1,12,0
U10341,62,monthly,premium,35.39,3,0,24,0
U10342,66,monthly,basic,50.66,0,0,6,0
U10343,30,one_year,standard,80.56,0,0,6,0
U10344,8,two_year,basic,81.71,0,0,4,0
U10345,26,monthly,standard,76.92,2,0,11,0
U10346,33,monthly,premium,44.52,2,0,42,0
U10347,44,monthly,basic,52.09,2,0,10,1
U10348,37,monthly,standard,87.66,2,0,19,0
U10349,61,monthly,standard,45.65,0,0,31,0
U10350,60,one_year,basic,76.86,0,0,3,0
U10351,14,one_year,premium,48.72,1,0,7,0
U10352,26,one_year,basic,72.59,1,0,6,0
U10353,43,monthly,premium,60.84,0,1,7,0
U10354,35,two_year,standard,50.86,1,0,31,0
U10355,44,monthly,basic,69.57,0,0,6,0
U10356,70,monthly,basic,109.06,2,1,22,0
U10357,34,one_year,standard,78.11,0,1,15,0
U10358,64,monthly,standard,88.09,1,1,34,0
U10359,26,monthly,basic,62.13,1,0,6,1
U10360,46,one_year,premium,76.63,1,0,4,0
U10361,68,one_year,basic,84.88,0,0,27,0
U10362,57,monthly,basic,40.79,0,1,4,0
U10363,58,monthly,basic,69.91,1,1,12,0
U10364,18,monthly,basic,26.92,0,0,12,0
U10365,12,monthly,basic,59.25,3,1,12,0
U10366,34,two_year,basic,100.22,1,1,6,0
U10367,1,one_year,standard,58.25,0,0,38,0
U10368,53,monthly,standard,89.02,1,0,5,0
U10369,19,one_year,premium,20.86,0,0,21,0
U10370,24,monthly,standard,87.75,1,0,1,0
U10371,31,monthly,basic,76.19,0,1,17,0
U10372,27,one_year,standard,54.82,1,1,18,0
U10373,12,monthly,basic,63.44,0,1,11,0
U10374,70,monthly,basic,38.17,1,0,16,1
U10375,24,monthly,basic,65.53,0,0,7,0
U10376,60,monthly,standard,42.71,1,0,28,0
U10377,49,two_year,standard,66.76,0,0,28,0
U10378,11,monthly,basic,114.93,1,1,6,1
U10379,53,monthly,basic,58.56,1,1,16,1
U10380,4,monthly,premium,49.25,1,0,35,0
U10381,59,monthly,standard,60.79,2,1,2,0
U10382,22,one_year,basic,88.47,2,1,0,0
U10383,58,monthly,basic,73.47,2,0,11,0
U10384,26,monthly,premium,58.29,0,0,12,1
U10385,23,monthly,basic,40.0,0,1,2,1
U10386,10,one_year,standard,64.92,1,1,10,0
U10387,38,monthly,premium,58.26,1,1,21,0
U10388,70,one_year,standard,85.92,1,1,8,0
U10389,53,monthly,premium,35.23,1,1,20,0
U10390,60,monthly,standard,101.47,0,0,24,0
U10391,44,monthly,basic,69.97,4,0,12,0
U10392,42,monthly,standard,103.98,0,0,16,0
U10393,42,monthly,standard,32.35,0,0,20,0
U10394,35,monthly,standard,55.71,0,0,9,1
U10395,58,monthly,basic,118.61,3,1,5,0
U10396,69,monthly,standard,81.4,1,1,14,0
U10397,68,one_year,basic,34.73,1,1,8,0
U10398,5,one_year,premium,41.42,3,0,10,0
U10399,64,monthly,basic,43.25,0,1,6,0
U10400,24,two_year,premium,19.33,2,0,3,0
U10401,20,monthly,premium,87.14,0,1,11,1
U10402,60,one_year,standard,53.3,1,1,3,0
U10403,9,one_year,premium,33.16,3,0,24,0
U10404,45,monthly,basic,71.05,1,1,10,0
U10405,21,one_year,premium,88.33,0,1,8,0
U10406,48,one_year,premium,68.75,1,0,11,0
U10407,57,monthly,basic,15.0,1,0,3,0
U10408,49,monthly,premium,23.12,2,1,12,0
U10409,23,two_year,premium,53.66,0,1,5,0
U10410,15,monthly,standard,50.72,1,1,2,0
U10411,53,two_year,standard,56.82,4,1,3,0
U10412,39,monthly,standard,68.18,3,0,9,1
U10413,43,monthly,standard,60.31,1,0,11,0
U10414,28,monthly,standard,68.7,2,0,7,0
U10415,71,two_year,basic,37.27,3,0,8,0
U10416,4,monthly,standard,85.44,1,0,4,0
U10417,9,monthly,basic,53.63,1,1,20,0
U10418,34,monthly,basic,55.19,2,1,13,0
U10419,59,two_year,standard,89.04,5,1,15,0
U10420,47,two_year,standard,57.23,0,0,8,0
U10421,4,one_year,basic,25.14,0,0,2,0
U10422,67,monthly,premium,76.45,1,1,6,0
U10423,46,monthly,standard,102.15,1,1,7,0
U10424,44,monthly,premium,68.56,1,0,10,1
U10425,39,monthly,premium,75.4,2,1,17,0
U10426,38,monthly,standard,69.86,1,0,6,0
U10427,18,two_year,premium,106.5,0,0,24,0
U10428,15,monthly,standard,38.25,0,0,7,0
U10429,19,one_year,premium,62.63,0,0,15,0
U10430,65,one_year,standard,88.65,1,1,12,0
U10431,28,monthly,basic,46.79,0,0,10,0
U10432,48,monthly,standard,93.88,2,1,14,0
U10433,35,two_year,premium,82.61,1,1,4,0
U10434,61,monthly,premium,58.89,0,0,9,0
U10435,12,one_year,basic,76.84,2,0,10,1
U10436,28,one_year,premium,92.34,1,1,21,0
U10437,32,one_year,premium,47.66,3,0,9,0
U10438,62,monthly,standard,83.02,0,0,20,0
U10439,7,two_year,basic,52.79,1,1,6,0
U10440,44,monthly,basic,53.35,2,0,6,0
U10441,36,monthly,standard,95.35,1,0,8,0
U10442,23,one_year,premium,74.31,1,1,20,0
U10443,39,monthly,standard,28.17,1,1,9,0
U10444,21,monthly,premium,54.73,1,0,12,1
U10445,28,monthly,standard,59.13,1,1,0,0
U10446,1,one_year,standard,57.74,1,1,23,0
U10447,36,one_year,basic,44.15,2,1,7,0
U10448,14,monthly,standard,60.74,3,0,5,1
U10449,41,two_year,premium,94.97,3,0,13,0
U10450,34,monthly,standard,88.65,1,0,7,1
U10451,38,two_year,standard,32.31,1,1,15,0
U10452,50,monthly,standard,66.52,1,0,10,0
U10453,13,monthly,basic,123.65,3,1,22,1
U10454,23,monthly,standard,83.73,1,0,4,0
U10455,16,one_year,standard,84.53,2,1,14,0
U10456,10,monthly,basic,72.62,2,0,1,1
U10457,19,one_year,basic,68.53,1,1,25,0
U10458,14,monthly,basic,94.63,0,1,18,0
U10459,71,one_year,standard,17.15,1,0,16,0
U10460,22,monthly,basic,79.3,0,1,4,1
U10461,36,one_year,standard,76.14,2,0,11,0
U10462,6,monthly,basic,26.7,1,1,10,1
U10463,51,monthly,standard,73.86,1,1,20,1
U10464,45,monthly,basic,32.91,2,1,2,0
U10465,15,monthly,standard,67.5,1,1,15,1
U10466,23,two_year,premium,75.74,1,0,10,0
U10467,37,two_year,premium,101.76,2,1,12,0
U10468,31,monthly,standard,44.18,2,0,12,1
U10469,32,two_year,standard,78.11,3,0,11,0
U10470,71,two_year,standard,68.6,2,0,5,0
U10471,15,one_year,basic,50.82,3,1,8,0
U10472,17,one_year,basic,41.73,0,0,18,0
U10473,16,one_year,standard,38.44,2,0,3,0
U10474,36,monthly,standard,64.54,2,1,29,0
U10475,18,monthly,standard,65.34,0,1,2,0
U10476,48,monthly,standard,54.61,0,1,8,1
U10477,53,monthly,standard,95.52,1,0,4,0
U10478,47,two_year,standard,70.89,2,0,34,0
U10479,53,monthly,standard,55.78,1,1,6,0
U10480,13,monthly,basic,40.48,2,0,36,0
U10481,62,monthly,basic,80.9,0,0,10,0
U10482,3,monthly,standard,15.79,2,0,17,0
U10483,24,monthly,premium,68.61,1,0,11,0
U10484,48,monthly,basic,108.64,0,1,2,0
U10485,37,monthly,premium,45.21,0,1,5,1
U10486,53,monthly,standard,75.86,1,1,4,1
U10487,52,two_year,basic,50.98,1,1,5,0
U10488,8,monthly,basic,71.91,0,1,14,0
U10489,40,monthly,basic,73.57,0,0,7,0
U10490,52,monthly,basic,73.35,3,1,6,0
U10491,62,two_year,standard,54.31,2,1,28,0
U10492,64,two_year,basic,50.51,0,0,4,0
U10493,2,monthly,standard,66.65,2,1,3,1
U10494,66,monthly,standard,66.73,1,0,5,1
U10495,50,monthly,standard,62.65,1,1,4,0
U10496,14,monthly,basic,72.75,3,0,11,1
U10497,10,one_year,standard,56.45,2,0,22,0
U10498,37,monthly,standard,15.0,0,0,4,0
U10499,37,one_year,standard,60.41,4,1,16,0
U10500,59,monthly,standard,50.54,0,0,13,0
U10501,28,one_year,standard,81.22,3,1,8,0
U10502,7,two_year,standard,15.0,1,0,1,1
U10503,33,monthly,premium,76.17,0,0,7,1
U10504,23,monthly,basic,72.04,2,0,6,0
U10505,55,monthly,standard,39.82,2,1,1,0
U10506,28,monthly,basic,24.19,0,1,20,0
U10507,7,monthly,standard,68.37,2,1,6,0
U10508,42,monthly,premium,52.9,1,0,4,1
U10509,4,monthly,standard,15.0,2,0,16,0
U10510,9,one_year,basic,26.85,4,1,6,0
U10511,67,monthly,standard,54.71,1,1,12,0
U10512,3,monthly,standard,40.16,2,1,7,1
U10513,35,two_year,premium,129.95,2,0,33,0
U10514,65,monthly,standard,91.79,0,0,20,0
U10515,30,two_year,standard,62.45,0,0,11,0
U10516,31,monthly,premium,88.77,0,0,11,0
U10517,11,two_year,standard,57.18,1,0,5,0
U10518,64,two_year,basic,115.91,0,0,1,0
U10519,36,one_year,standard,89.58,0,1,12,0
U10520,26,one_year,basic,60.9,5,0,40,0
U10521,48,monthly,standard,25.51,1,1,14,0
U10522,41,two_year,standard,77.61,1,0,12,0
U10523,64,two_year,standard,15.0,0,1,9,0
U10524,7,one_year,basic,82.86,0,0,21,0
U10525,28,monthly,standard,41.12,1,0,15,0
U10526,37,one_year,basic,131.92,0,0,2,0
U10527,10,two_year,basic,57.69,1,0,5,0
U10528,61,one_year,basic,45.96,4,0,16,0
U10529,54,monthly,standard,106.52,0,0,19,0
U10530,60,monthly,basic,68.08,0,0,20,0
U10531,22,monthly,basic,62.48,0,1,5,0
U10532,52,two_year,basic,18.74,1,0,14,1
U10533,51,monthly,standard,47.0,1,1,12,0
U10534,41,one_year,standard,72.65,0,1,6,0
U10535,57,two_year,standard,104.91,1,1,1,0
U10536,26,two_year,basic,88.95,1,0,19,0
U10537,69,monthly,basic,70.78,2,1,20,1
U10538,65,one_year,standard,68.11,0,0,58,0
U10539,13,two_year,basic,88.32,1,1,3,0
U10540,29,one_year,premium,73.8,1,0,12,0
U10541,19,monthly,basic,56.59,0,0,10,0
U10542,32,monthly,premium,27.19,0,1,17,0
U10543,28,monthly,basic,68.79,1,1,8,0
U10544,64,monthly,standard,46.98,0,0,5,0
U10545,59,monthly,basic,46.33,1,0,17,0
U10546,39,monthly,premium,56.2,2,1,8,0
U10547,31,monthly,standard,36.61,1,1,11,0
U10548,1,one_year,premium,94.92,3,0,2,1
U10549,31,one_year,premium,72.36,4,0,10,0
U10550,66,monthly,basic,62.78,1,0,11,0
U10551,60,one_year,premium,19.73,1,0,18,0
U10552,20,monthly,premium,67.51,1,1,5,0
U10553,9,two_year,basic,76.76,2,0,4,0
U10554,22,monthly,standard,18.95,1,0,13,0
U10555,8,monthly,standard,27.8,2,1,21,0
U10556,36,one_year,standard,56.67,2,0,18,0
