size_m2,rooms,age_years,km_to_center,price_chf
69.0,1.6,32,2.4,574000.0
106.0,3.3,34,22.2,507000.0
109.0,3.6,79,16.1,514000.0
49.0,1.0,79,10.9,314000.0
38.0,1.0,3,7.2,419000.0
86.0,2.5,76,6.8,591000.0
89.0,3.8,72,14.3,495000.0
94.0,4.4,46,5.5,671000.0
115.0,4.3,14,2.7,829000.0
132.0,3.7,62,4.7,875000.0
102.0,3.3,55,6.4,650000.0
113.0,4.0,66,4.2,648000.0
62.0,2.1,1,4.3,485000.0
60.0,1.9,8,2.0,535000.0
102.0,4.0,0,11.7,691000.0
115.0,2.9,5,26.2,521000.0
117.0,3.8,24,5.9,700000.0
113.0,4.2,40,11.3,629000.0
119.0,4.7,16,9.8,757000.0
119.0,4.4,26,8.4,779000.0
42.0,1.5,31,2.9,389000.0
73.0,2.5,48,3.3,498000.0
109.0,3.5,39,6.6,749000.0
113.0,4.1,71,4.0,777000.0
50.0,1.7,4,7.4,486000.0
130.0,4.2,5,10.8,768000.0
82.0,3.7,49,12.3,486000.0
88.0,3.9,19,1.7,718000.0
103.0,3.5,76,3.2,550000.0
117.0,4.6,52,15.3,562000.0
52.0,2.6,60,4.0,476000.0
125.0,4.6,53,13.6,614000.0
97.0,3.6,53,5.5,588000.0
72.0,2.9,30,2.3,678000.0
87.0,2.1,46,4.7,550000.0
30.0,1.0,3,9.3,414000.0
76.0,3.1,12,5.0,584000.0
100.0,3.8,58,11.4,528000.0
74.0,3.5,28,8.6,564000.0
85.0,2.8,66,8.9,508000.0
91.0,3.9,50,7.8,634000.0
96.0,4.1,78,4.7,530000.0
126.0,5.7,26,5.7,850000.0
94.0,2.9,76,14.8,495000.0
87.0,2.9,30,3.2,669000.0
111.0,4.2,27,4.4,759000.0
157.0,5.8,28,17.7,792000.0
85.0,2.5,28,1.9,695000.0
110.0,3.6,60,5.1,719000.0
48.0,1.0,10,5.0,496000.0
135.0,6.2,48,9.1,839000.0
115.0,4.1,38,12.2,692000.0
135.0,4.8,12,4.4,849000.0
93.0,3.0,78,5.6,475000.0
64.0,2.3,62,4.8,387000.0
122.0,4.9,66,0.6,772000.0
118.0,4.0,37,10.7,587000.0
69.0,2.5,66,5.4,444000.0
51.0,3.2,15,9.1,503000.0
108.0,4.4,14,13.2,631000.0
90.0,3.4,42,7.4,689000.0
173.0,6.0,59,7.5,870000.0
77.0,2.8,66,11.1,495000.0
79.0,2.4,38,1.7,492000.0
92.0,3.5,45,8.9,604000.0
45.0,1.2,31,1.4,523000.0
68.0,2.0,32,17.5,387000.0
144.0,4.9,12,2.7,866000.0
91.0,2.6,4,3.2,621000.0
77.0,2.9,25,2.2,637000.0
57.0,3.6,36,4.6,543000.0
112.0,3.6,79,5.9,664000.0
115.0,3.1,73,17.3,528000.0
103.0,4.3,43,10.2,583000.0
83.0,2.9,8,6.4,574000.0
104.0,4.9,22,16.1,579000.0
106.0,4.0,70,4.6,573000.0
75.0,3.2,29,13.5,547000.0
114.0,3.6,23,7.7,782000.0
32.0,1.0,22,16.5,326000.0
56.0,1.9,59,12.1,445000.0
86.0,3.5,8,6.4,606000.0
92.0,2.8,68,6.3,468000.0
60.0,1.2,19,8.5,464000.0
105.0,3.4,67,6.2,612000.0
127.0,4.2,71,8.3,649000.0
109.0,3.7,53,3.4,715000.0
102.0,3.6,23,4.0,681000.0
120.0,5.7,47,7.4,783000.0
107.0,3.8,1,1.6,801000.0
61.0,1.8,33,2.7,457000.0
89.0,2.5,65,14.8,468000.0
134.0,5.2,55,7.9,753000.0
61.0,1.2,73,2.1,449000.0
97.0,4.3,49,3.9,655000.0
83.0,2.9,67,3.6,501000.0
68.0,1.5,52,23.8,323000.0
65.0,2.4,49,5.9,462000.0
98.0,3.4,21,15.4,574000.0
104.0,4.4,58,10.5,620000.0
104.0,2.8,3,2.9,844000.0
52.0,1.9,61,14.4,336000.0
86.0,3.0,4,8.2,607000.0
105.0,4.3,44,6.6,641000.0
123.0,3.7,4,2.7,746000.0
115.0,3.6,56,3.3,710000.0
120.0,5.4,27,4.1,804000.0
128.0,4.9,49,1.3,790000.0
120.0,3.4,43,11.9,706000.0
71.0,2.7,6,23.9,427000.0
97.0,2.9,60,8.2,608000.0
74.0,2.2,41,8.0,487000.0
30.0,1.0,25,5.4,422000.0
45.0,2.1,44,3.0,452000.0
158.0,5.3,71,12.2,784000.0
61.0,2.3,24,6.5,490000.0
30.0,1.1,18,5.1,413000.0
77.0,1.8,22,6.2,518000.0
141.0,4.5,70,5.1,861000.0
94.0,3.8,6,5.7,666000.0
107.0,2.8,56,0.7,598000.0
87.0,3.2,45,2.2,655000.0
93.0,3.2,16,5.6,631000.0
133.0,5.1,12,10.7,816000.0
119.0,4.6,20,5.1,779000.0
92.0,3.7,49,1.7,701000.0
122.0,4.3,24,12.8,717000.0
127.0,4.6,31,3.8,857000.0
88.0,2.7,20,11.0,529000.0
103.0,3.3,19,4.1,710000.0
103.0,4.2,74,4.7,608000.0
75.0,2.3,38,9.4,498000.0
130.0,5.2,14,4.2,967000.0
90.0,3.8,72,2.9,558000.0
76.0,2.2,37,17.4,449000.0
45.0,1.9,68,3.3,363000.0
57.0,1.5,19,1.2,533000.0
141.0,5.2,48,1.2,837000.0
61.0,1.7,53,8.8,386000.0
108.0,4.0,6,8.3,637000.0
84.0,3.1,63,15.2,521000.0
110.0,3.3,29,4.8,715000.0
113.0,5.2,52,7.4,717000.0
72.0,3.1,55,12.2,386000.0
86.0,2.1,40,6.6,633000.0
98.0,3.7,79,12.7,581000.0
98.0,3.2,11,2.7,690000.0
94.0,4.6,19,24.0,530000.0
86.0,3.0,35,2.9,605000.0
114.0,4.3,70,2.1,758000.0
135.0,4.7,11,1.0,794000.0
111.0,4.3,50,5.8,705000.0
73.0,2.3,44,1.8,562000.0
107.0,3.3,22,4.3,757000.0
97.0,3.1,49,10.1,528000.0
109.0,3.6,48,4.9,648000.0
150.0,5.7,46,8.5,809000.0
89.0,3.2,75,4.7,605000.0
95.0,3.1,33,27.8,457000.0
68.0,2.2,10,18.9,478000.0
86.0,2.5,48,9.4,573000.0
78.0,2.8,16,8.2,598000.0
143.0,3.9,9,7.2,811000.0
104.0,3.6,74,4.5,623000.0
78.0,3.5,21,3.9,677000.0
153.0,5.2,54,11.6,845000.0
55.0,1.6,78,20.4,201000.0
121.0,4.3,79,4.3,669000.0
125.0,3.9,13,9.2,752000.0
112.0,3.5,61,4.2,675000.0
87.0,3.5,1,4.9,677000.0
91.0,2.8,62,5.6,576000.0
85.0,4.2,50,9.9,581000.0
119.0,4.6,40,6.4,801000.0
30.0,1.0,50,3.3,366000.0
80.0,2.5,24,5.3,535000.0
100.0,3.4,19,10.9,741000.0
78.0,1.4,5,13.2,503000.0
40.0,1.6,45,2.7,367000.0
88.0,3.7,30,11.1,635000.0
72.0,2.9,78,3.9,562000.0
119.0,4.0,4,6.8,813000.0
137.0,5.2,68,13.7,791000.0
97.0,3.8,14,6.6,676000.0
37.0,1.2,22,1.7,418000.0
89.0,3.4,75,19.9,380000.0
67.0,3.0,56,1.0,587000.0
115.0,4.4,11,12.7,729000.0
146.0,5.0,46,0.7,992000.0
105.0,3.7,45,9.2,631000.0
156.0,5.6,29,13.2,932000.0
140.0,4.0,31,3.8,868000.0
116.0,4.2,57,2.5,827000.0
69.0,2.4,2,8.8,547000.0
101.0,2.3,13,7.6,736000.0
55.0,1.0,68,15.5,254000.0
130.0,5.7,18,10.2,800000.0
102.0,3.7,56,9.0,596000.0
140.0,5.8,26,7.9,922000.0
108.0,3.6,27,17.9,505000.0
41.0,2.4,64,2.9,338000.0
119.0,4.6,39,9.4,740000.0
127.0,4.1,24,6.5,798000.0
149.0,5.5,19,4.9,936000.0
70.0,3.4,12,9.9,566000.0
72.0,4.0,54,8.2,506000.0
101.0,3.9,61,7.3,661000.0
68.0,2.1,10,4.7,624000.0
58.0,1.5,12,9.6,416000.0
66.0,2.8,52,19.4,432000.0
177.0,7.0,19,2.5,1062000.0
80.0,2.9,63,10.2,430000.0
68.0,2.4,72,5.8,458000.0
85.0,3.5,13,7.6,618000.0
98.0,3.8,45,7.6,646000.0
137.0,5.1,75,12.4,671000.0
127.0,3.6,4,10.3,776000.0
122.0,4.2,75,3.5,699000.0
99.0,4.7,51,17.2,611000.0
103.0,3.7,6,1.6,764000.0
79.0,4.3,36,4.0,581000.0
53.0,2.1,23,4.0,431000.0
159.0,5.5,30,9.3,915000.0
84.0,3.2,5,6.0,731000.0
128.0,4.9,28,11.9,675000.0
88.0,2.7,74,6.4,503000.0
95.0,3.5,63,17.7,554000.0
93.0,3.1,49,2.4,687000.0
57.0,2.9,18,7.3,481000.0
96.0,3.2,42,5.4,628000.0
109.0,4.0,79,2.9,649000.0
123.0,3.5,14,10.4,703000.0
113.0,3.2,58,4.3,675000.0
128.0,4.5,25,2.8,864000.0
107.0,3.3,8,1.4,786000.0
98.0,3.3,53,16.4,457000.0
39.0,1.5,66,11.7,271000.0
82.0,3.3,15,2.9,613000.0
144.0,4.3,59,9.7,845000.0
101.0,3.5,70,6.5,543000.0
121.0,4.7,31,3.9,740000.0
91.0,2.8,33,12.6,491000.0
77.0,2.0,32,3.1,746000.0
159.0,5.3,79,5.5,960000.0
108.0,4.8,79,10.2,608000.0
142.0,5.1,78,9.8,813000.0
113.0,5.0,45,6.9,639000.0
89.0,3.0,2,10.3,610000.0
30.0,1.8,29,2.0,509000.0
100.0,2.7,52,6.6,610000.0
50.0,1.6,71,14.3,233000.0
31.0,1.2,18,2.4,370000.0
135.0,5.9,52,17.4,695000.0
119.0,4.5,49,12.7,671000.0
117.0,4.9,41,7.7,728000.0
99.0,3.3,51,16.5,513000.0
96.0,3.2,61,22.9,377000.0
110.0,4.7,17,17.2,652000.0
102.0,4.5,12,6.4,721000.0
100.0,4.3,36,25.6,423000.0
120.0,5.0,5,2.3,879000.0
30.0,1.0,78,2.7,290000.0
124.0,5.7,42,2.5,910000.0
78.0,2.9,72,10.8,489000.0
123.0,5.2,68,6.0,708000.0
132.0,5.2,79,5.8,718000.0
72.0,1.5,22,8.6,596000.0
121.0,3.2,60,7.9,746000.0
120.0,3.3,15,6.9,790000.0
75.0,2.7,56,15.1,478000.0
80.0,3.5,21,10.5,499000.0
99.0,3.4,28,10.5,687000.0
30.0,1.6,8,10.0,346000.0
82.0,2.2,56,11.6,485000.0
101.0,3.2,23,11.5,684000.0
82.0,2.4,44,10.6,546000.0
47.0,1.7,71,2.5,321000.0
84.0,2.3,61,5.3,580000.0
141.0,5.0,74,4.2,811000.0
135.0,5.2,27,2.1,947000.0
92.0,3.0,42,5.2,632000.0
71.0,2.0,63,7.4,499000.0
95.0,3.1,17,3.8,641000.0
96.0,2.7,61,14.4,483000.0
75.0,2.1,35,19.1,370000.0
85.0,3.5,55,9.0,570000.0
114.0,4.3,74,26.4,456000.0
123.0,3.5,40,3.8,760000.0
30.0,1.0,70,5.0,407000.0
124.0,4.7,43,10.1,792000.0
99.0,4.0,59,6.6,762000.0
130.0,5.0,64,2.3,783000.0
95.0,4.0,26,23.8,480000.0
108.0,3.8,20,17.1,620000.0
144.0,5.1,53,6.4,891000.0
30.0,1.0,71,3.4,280000.0
143.0,5.8,29,12.8,948000.0
101.0,4.1,34,16.2,564000.0
40.0,2.5,35,20.8,357000.0
30.0,1.7,32,7.1,310000.0
104.0,3.2,41,6.3,638000.0
64.0,1.4,44,11.2,452000.0
125.0,3.6,72,10.2,687000.0
102.0,3.1,76,3.9,620000.0
91.0,3.6,30,12.1,574000.0
125.0,3.6,26,10.1,771000.0
101.0,2.4,48,8.1,593000.0
117.0,4.1,58,10.9,771000.0
120.0,4.8,62,20.4,652000.0
105.0,4.2,59,5.6,703000.0
119.0,5.3,16,26.7,581000.0
119.0,4.2,56,12.8,814000.0
54.0,1.6,37,2.6,496000.0
87.0,2.9,42,12.1,511000.0
91.0,2.4,12,2.4,637000.0
84.0,2.6,9,18.9,388000.0
47.0,2.4,55,10.7,333000.0
78.0,4.0,26,26.2,323000.0
105.0,4.5,0,4.4,702000.0
101.0,3.8,20,5.0,775000.0
141.0,4.9,49,6.4,817000.0
77.0,2.9,31,16.0,437000.0
82.0,1.8,75,0.3,636000.0
78.0,3.1,17,9.1,536000.0
86.0,3.5,9,3.4,774000.0
77.0,2.7,60,3.3,530000.0
39.0,1.4,4,4.6,458000.0
105.0,2.7,12,11.8,633000.0
125.0,4.9,48,7.7,731000.0
129.0,5.1,72,4.6,781000.0
62.0,1.0,27,2.3,578000.0
89.0,2.8,68,22.3,417000.0
151.0,5.6,17,17.8,783000.0
92.0,4.3,62,13.5,455000.0
105.0,3.2,27,23.0,600000.0
90.0,3.2,49,14.9,483000.0
125.0,5.3,61,16.4,616000.0
124.0,4.7,47,2.3,825000.0
165.0,5.7,44,3.9,1000000.0
110.0,3.6,22,1.8,796000.0
108.0,3.9,78,5.8,613000.0
59.0,1.6,43,7.6,343000.0
83.0,3.6,48,5.4,614000.0
74.0,2.1,55,10.9,459000.0
85.0,3.4,41,5.3,599000.0
56.0,2.6,3,18.2,366000.0
132.0,5.4,19,6.7,877000.0
63.0,2.3,74,9.1,411000.0
103.0,3.7,37,1.0,738000.0
57.0,2.3,25,12.8,485000.0
105.0,3.8,13,4.3,729000.0
145.0,5.9,38,17.2,772000.0
70.0,2.5,46,3.4,516000.0
106.0,5.0,26,16.3,560000.0
93.0,5.0,17,4.9,684000.0
104.0,3.4,60,3.5,712000.0
108.0,4.1,65,8.7,677000.0
76.0,2.1,54,3.1,509000.0
90.0,3.7,18,7.7,576000.0
77.0,3.0,59,4.2,563000.0
70.0,2.4,5,0.5,617000.0
58.0,1.5,68,10.1,376000.0
124.0,4.5,76,6.9,783000.0
73.0,3.9,21,6.4,569000.0
115.0,5.1,30,2.9,845000.0
112.0,4.3,8,10.1,745000.0
65.0,2.0,42,10.4,484000.0
126.0,4.5,28,3.0,788000.0
69.0,2.0,22,8.6,501000.0
114.0,3.3,19,4.4,768000.0
139.0,4.4,75,13.6,700000.0
74.0,3.0,0,10.4,564000.0
67.0,2.6,57,6.6,460000.0
67.0,2.5,6,10.1,607000.0
164.0,5.2,1,10.6,850000.0
84.0,2.2,69,14.6,484000.0
57.0,2.7,5,0.4,575000.0
119.0,4.1,78,7.0,620000.0
90.0,4.0,40,2.3,626000.0
94.0,2.9,50,4.2,545000.0
65.0,2.9,58,0.3,557000.0
30.0,1.2,63,9.2,302000.0
73.0,2.4,43,13.6,473000.0
63.0,2.0,4,3.9,632000.0
46.0,2.8,54,6.1,319000.0
62.0,2.8,43,2.7,450000.0
66.0,2.2,30,9.6,453000.0
119.0,4.4,3,8.1,821000.0
116.0,3.2,36,3.9,761000.0
110.0,5.0,32,8.6,660000.0
79.0,3.7,20,6.0,606000.0
57.0,1.8,8,10.9,491000.0
104.0,4.0,43,15.0,521000.0
108.0,2.2,68,5.6,650000.0
125.0,5.1,34,10.6,800000.0
94.0,3.7,4,2.7,772000.0
91.0,3.4,10,9.7,681000.0
104.0,4.2,51,19.4,531000.0
67.0,2.6,46,2.4,420000.0
71.0,2.0,66,1.0,444000.0
114.0,3.7,56,6.2,642000.0
57.0,1.9,79,20.1,251000.0
92.0,3.8,7,4.9,723000.0
118.0,4.2,14,15.1,697000.0
102.0,3.2,7,2.0,755000.0
108.0,4.1,38,3.3,794000.0
62.0,1.5,2,4.0,457000.0
91.0,4.5,49,11.0,591000.0
87.0,3.3,56,1.1,650000.0
113.0,3.4,49,3.9,774000.0
108.0,4.0,64,3.8,790000.0
96.0,4.1,18,18.5,622000.0
152.0,5.8,8,9.6,870000.0
111.0,5.2,68,12.2,663000.0
87.0,2.2,76,4.9,489000.0
77.0,3.7,51,11.0,526000.0
94.0,3.3,68,7.0,544000.0
78.0,3.3,63,3.5,524000.0
145.0,6.2,26,7.0,914000.0
113.0,3.3,23,14.5,620000.0
86.0,2.2,56,6.8,545000.0
76.0,2.5,27,15.3,471000.0
63.0,1.2,32,6.7,493000.0
87.0,1.9,48,4.0,547000.0
135.0,4.9,0,2.4,857000.0
121.0,5.0,75,6.3,624000.0
94.0,3.1,27,14.5,589000.0
100.0,3.9,73,7.1,635000.0
40.0,3.6,26,13.3,319000.0
119.0,4.5,73,8.5,585000.0
89.0,3.0,22,3.3,686000.0
137.0,4.8,77,5.3,781000.0
91.0,3.5,40,7.1,648000.0
81.0,2.7,69,2.2,555000.0
102.0,4.1,36,1.0,789000.0
77.0,2.9,69,5.2,534000.0
136.0,5.4,35,13.2,776000.0
105.0,3.8,11,5.4,779000.0
107.0,3.8,44,13.3,561000.0
106.0,3.2,40,3.4,694000.0
86.0,2.2,44,2.5,604000.0
111.0,3.8,24,6.4,710000.0
102.0,3.4,5,2.5,761000.0
149.0,5.5,40,6.2,869000.0
98.0,3.5,68,7.5,508000.0
108.0,3.6,37,16.8,693000.0
83.0,4.3,44,11.1,550000.0
85.0,3.2,16,14.0,539000.0
88.0,3.9,7,11.2,547000.0
136.0,4.2,24,10.3,800000.0
100.0,4.2,8,10.2,669000.0
126.0,5.2,23,5.1,756000.0
90.0,3.5,66,7.1,624000.0
87.0,2.6,0,3.3,716000.0
40.0,2.2,60,12.7,208000.0
122.0,3.9,68,8.5,726000.0
159.0,4.7,36,16.7,788000.0
91.0,2.3,31,9.9,613000.0
141.0,5.1,65,14.9,760000.0
123.0,4.1,71,0.7,812000.0
77.0,3.2,12,0.3,680000.0
121.0,4.7,27,3.4,881000.0
71.0,3.4,79,10.3,425000.0
89.0,3.4,2,9.4,621000.0
135.0,4.9,30,18.6,711000.0
103.0,3.7,21,4.8,691000.0
63.0,1.8,55,2.6,591000.0
140.0,4.5,20,8.7,852000.0
65.0,1.9,44,1.2,587000.0
93.0,3.5,48,3.0,658000.0
88.0,2.6,62,11.7,504000.0
93.0,3.3,45,8.3,645000.0
72.0,3.2,30,2.8,552000.0
49.0,1.0,8,0.8,533000.0
154.0,5.0,20,3.1,1024000.0
70.0,1.9,57,11.5,437000.0
71.0,2.5,13,8.0,553000.0
30.0,1.0,29,0.3,377000.0
101.0,3.2,38,9.4,664000.0
137.0,6.3,31,14.2,850000.0
140.0,4.2,36,11.1,846000.0
181.0,6.4,60,6.4,988000.0
143.0,5.2,28,2.8,913000.0
110.0,3.7,77,11.4,557000.0
99.0,2.8,57,11.2,588000.0
141.0,5.6,23,4.0,943000.0
97.0,2.3,75,3.6,598000.0
104.0,3.1,47,8.4,630000.0
69.0,2.3,15,15.8,479000.0
101.0,3.2,6,2.1,756000.0
157.0,6.3,9,7.6,997000.0
96.0,3.2,59,2.4,604000.0
110.0,5.0,54,12.7,605000.0
30.0,1.0,31,4.4,331000.0
138.0,5.8,76,9.0,729000.0
109.0,4.1,13,19.8,636000.0
140.0,4.8,61,8.9,884000.0
105.0,3.5,47,13.4,604000.0
72.0,3.1,12,10.7,455000.0
57.0,1.7,72,26.1,180000.0
113.0,4.0,14,4.0,726000.0
97.0,2.9,76,1.2,646000.0
68.0,1.1,40,17.9,384000.0
95.0,3.7,68,5.7,688000.0
78.0,3.1,1,9.4,593000.0
118.0,3.4,78,2.9,690000.0
84.0,3.2,25,4.2,686000.0
60.0,1.9,50,2.7,432000.0
93.0,2.1,28,3.8,637000.0
79.0,2.2,31,2.4,648000.0
140.0,5.3,59,8.3,815000.0
82.0,3.5,55,11.6,532000.0
56.0,2.2,41,7.4,394000.0
93.0,5.0,66,12.5,484000.0
87.0,3.3,52,1.2,610000.0
103.0,3.2,18,6.6,739000.0
101.0,2.7,27,15.5,551000.0
63.0,3.1,52,12.2,372000.0
93.0,3.0,32,20.3,424000.0
91.0,3.0,59,17.1,575000.0
58.0,1.5,8,2.4,451000.0
77.0,2.2,37,3.8,531000.0
100.0,3.3,66,3.3,579000.0
46.0,1.9,4,6.3,493000.0
61.0,2.5,22,9.8,388000.0
79.0,3.0,18,5.2,532000.0
90.0,3.8,21,15.6,574000.0
108.0,3.5,30,1.4,664000.0
52.0,1.2,73,1.5,434000.0
102.0,3.6,73,4.4,689000.0
111.0,2.7,45,5.2,689000.0
139.0,5.5,4,8.3,759000.0
80.0,3.2,71,11.5,442000.0
65.0,2.6,73,16.1,345000.0
47.0,1.0,14,2.2,534000.0
