order_id,order_date,customer_id,country,category,unit_price,quantity,status
O103988,2025-01-11,C2136,CH,Sports,64.27,3,delivered
O103617,2025-01-11,C1947,DE,Sports,34.59,1,delivered
O104430,2025-01-11,C1356,FR,Electronics,248.28,1,delivered
O101440,2025-01-11,C2014,DE,Home,31.34,3,delivered
O100095,2025-01-11,C2181,CH,Books,28.66,3,delivered
O103276,2025-01-11,C1194,DE,Home,20.71,1,delivered
O103515,2025-01-11,C1021,CH,Books,13.01,2,returned
O101028,2025-01-12,C1274,IT,Books,24.07,2,delivered
O101147,2025-01-12,C1184,CH,Books,13.72,1,delivered
O104341,2025-01-12,C1132,CH,Sports,84.31,2,delivered
O101881,2025-01-12,C2726,IT,Fashion,50.19,1,delivered
O104854,2025-01-12,C2554,AT,Fashion,61.92,1,delivered
O100147,2025-01-12,C1593,FR,Home,96.82,1,delivered
O102163,2025-01-12,C2535,FR,Sports,80.55,2,returned
O100939,2025-01-12,C1718,FR,Fashion,41.96,1,delivered
O101270,2025-01-12,C1663,DE,Sports,36.49,3,delivered
O100633,2025-01-12,C1714,FR,Fashion,133.44,3,delivered
O104190,2025-01-12,C1910,AT,Fashion,52.48,2,delivered
O103134,2025-01-12,C1151,DE,Fashion,107.92,3,delivered
O100606,2025-01-13,C1559,FR,Fashion,17.47,2,delivered
O103721,2025-01-13,C2478,CH,Home,16.52,3,delivered
O100112,2025-01-13,C2571,CH,Electronics,214.65,1,delivered
O103354,2025-01-13,C2357,CH,Sports,35.27,2,delivered
O103898,2025-01-13,C1406,AT,Home,57.71,3,delivered
O104985,2025-01-13,C1654,IT,Fashion,38.57,1,delivered
O101884,2025-01-13,C2481,FR,Sports,26.43,1,delivered
O103181,2025-01-13,C2554,DE,Fashion,95.71,2,delivered
O103835,2025-01-13,C1402,CH,Electronics,773.0,3,cancelled
O100628,2025-01-14,C2153,FR,Home,14.44,2,delivered
O101004,2025-01-14,C1124,CH,Fashion,32.71,3,delivered
O100909,2025-01-14,C1595,DE,Books,10.33,3,delivered
O104369,2025-01-14,C1248,DE,Sports,119.17,3,delivered
O100122,2025-01-14,C2692,CH,Books,16.51,2,delivered
O100735,2025-01-14,C1213,CH,Books,18.81,2,delivered
O104087,2025-01-14,C2740,DE,Home,95.19,2,delivered
O102242,2025-01-14,C2782,CH,Sports,109.58,2,cancelled
O100974,2025-01-15,C1947,AT,Home,69.09,3,delivered
O101744,2025-01-15,C1577,DE,Electronics,176.63,3,delivered
O101216,2025-01-15,C2562,FR,Fashion,30.85,1,cancelled
O101800,2025-01-15,C1962,CH,Books,10.19,3,returned
O104583,2025-01-15,C1733,IT,Electronics,416.24,2,delivered
O102003,2025-01-15,C1576,DE,Electronics,174.6,1,delivered
O101799,2025-01-15,C1104,DE,Home,66.85,1,delivered
O103293,2025-01-15,C2658,AT,Electronics,53.34,1,delivered
O103891,2025-01-15,C1274,DE,Sports,80.69,2,delivered
O103776,2025-01-16,C2461,CH,Sports,40.72,1,returned
O100757,2025-01-16,C2570,CH,Home,121.95,1,delivered
O100121,2025-01-16,C1328,CH,Sports,532.52,3,delivered
O101778,2025-01-16,C2249,DE,Home,80.93,3,delivered
O103372,2025-01-16,C1215,FR,Sports,112.36,2,delivered
O101812,2025-01-17,C1573,DE,Electronics,42.87,3,cancelled
O101386,2025-01-17,C2696,AT,Fashion,29.2,1,delivered
O102745,2025-01-17,C2634,DE,Fashion,38.6,1,cancelled
O100635,2025-01-17,C1336,DE,Sports,84.82,1,delivered
O102762,2025-01-17,C1395,CH,Fashion,21.22,2,delivered
O102932,2025-01-17,C1383,CH,Sports,112.25,2,delivered
O102813,2025-01-17,C2389,DE,Fashion,45.69,2,delivered
O103434,2025-01-17,C2697,AT,Electronics,187.1,1,delivered
O101984,2025-01-17,C2694,DE,Fashion,54.06,3,delivered
O102474,2025-01-17,C1546,AT,Books,10.24,3,delivered
O100139,2025-01-17,C1736,DE,Sports,48.01,1,delivered
O101142,2025-01-17,C1636,CH,Electronics,1050.37,3,delivered
O102142,2025-01-17,C2562,IT,Books,23.19,3,cancelled
O101451,2025-01-18,C2218,FR,Electronics,413.07,2,delivered
O102352,2025-01-18,C2345,CH,Books,33.22,2,delivered
O100343,2025-01-18,C2020,IT,Fashion,37.71,1,delivered
O100007,2025-01-18,C2322,DE,Fashion,56.74,3,delivered
O102869,2025-01-18,C1719,DE,Books,22.6,1,delivered
O101656,2025-01-18,C2557,CH,Home,29.8,3,delivered
O101274,2025-01-18,C2476,IT,Fashion,75.41,3,returned
O102176,2025-01-18,C2234,FR,Electronics,248.13,3,delivered
O104035,2025-01-18,C1749,DE,Books,10.59,1,cancelled
O101828,2025-01-18,C2546,DE,Books,18.98,2,delivered
O102145,2025-01-18,C2291,CH,Electronics,106.65,2,delivered
O100491,2025-01-19,C1495,DE,Electronics,51.71,3,delivered
O103973,2025-01-19,C1587,DE,Sports,61.14,2,delivered
O102857,2025-01-19,C1939,AT,Electronics,23.05,1,delivered
O103874,2025-01-19,C2689,CH,Electronics,279.35,1,delivered
O102871,2025-01-19,C2507,IT,Sports,59.81,2,delivered
O102343,2025-01-19,C1003,AT,Home,87.8,1,delivered
O102675,2025-01-19,C1018,CH,Electronics,360.43,2,delivered
O103949,2025-01-19,C2201,DE,Fashion,35.05,3,delivered
O100607,2025-01-19,C2514,CH,Home,62.58,1,delivered
O101865,2025-01-20,C2273,DE,Sports,51.47,1,delivered
O101865,2025-01-20,C2273,DE,Sports,51.47,1,delivered
O103932,2025-01-20,C2287,DE,Sports,130.21,3,cancelled
O100731,2025-01-20,C1881,FR,Home,103.19,2,delivered
O101601,2025-01-21,C2007,CH,Electronics,155.96,3,delivered
O102517,2025-01-21,C2388,DE,Home,39.49,3,delivered
O102320,2025-01-21,C1437,DE,Books,10.66,3,delivered
O100081,2025-01-21,C1873,FR,Home,47.65,1,delivered
O101389,2025-01-21,C1414,DE,Home,35.83,1,delivered
O103041,2025-01-21,C1363,CH,Electronics,122.89,3,delivered
O104276,2025-01-21,C1475,FR,Fashion,43.17,2,delivered
O101888,2025-01-21,C2010,CH,Home,48.87,3,delivered
O104778,2025-01-21,C1057,CH,Home,33.16,2,delivered
O100646,2025-01-21,C2476,IT,Books,15.95,3,cancelled
O102133,2025-01-21,C1703,CH,Fashion,88.53,2,delivered
O100312,2025-01-21,C2309,FR,Fashion,29.72,3,delivered
O100577,2025-01-21,C2123,FR,Electronics,406.23,2,delivered
O101618,2025-01-21,C1123,FR,Home,56.4,1,delivered
O101756,2025-01-22,C1105,AT,Home,37.13,2,delivered
O101550,2025-01-22,C1705,DE,Home,33.05,2,delivered
O104750,2025-01-22,C1208,AT,Electronics,126.18,3,delivered
O101145,2025-01-22,C1327,AT,Home,40.48,1,delivered
O101290,2025-01-22,C1424,DE,Electronics,5670.36,1,delivered
O100107,2025-01-22,C1582,DE,Sports,61.43,3,cancelled
O102183,2025-01-22,C1891,DE,Sports,54.22,3,delivered
O100211,2025-01-22,C2249,DE,Electronics,256.92,1,delivered
O101241,2025-01-23,C1502,DE,Home,88.6,3,delivered
O101392,2025-01-23,C2113,FR,Home,65.8,3,delivered
O102331,2025-01-23,C1579,CH,Books,21.06,1,delivered
O100790,2025-01-23,C2283,FR,Fashion,46.15,2,delivered
O100302,2025-01-23,C2133,DE,Electronics,669.05,3,delivered
O101890,2025-01-23,C1046,CH,Home,51.99,2,delivered
O103942,2025-01-24,C1714,DE,Sports,87.75,2,delivered
O104539,2025-01-24,C2101,FR,Electronics,1587.02,1,delivered
O104766,2025-01-24,C1666,AT,Electronics,107.92,2,delivered
O103028,2025-01-24,C1943,IT,Home,31.82,3,delivered
O101452,2025-01-24,C1362,DE,Fashion,29.28,1,delivered
O103469,2025-01-24,C1099,CH,Books,38.68,1,delivered
O104049,2025-01-24,C2563,FR,Fashion,19.44,2,delivered
O100241,2025-01-24,C1905,AT,Fashion,51.4,2,delivered
O100175,2025-01-25,C1595,DE,Sports,418.03,3,returned
O103634,2025-01-25,C1033,IT,Fashion,39.44,1,delivered
O103380,2025-01-25,C1065,FR,Sports,32.25,3,delivered
O100802,2025-01-25,C1611,CH,Fashion,36.8,1,returned
O100786,2025-01-25,C2349,CH,Fashion,96.68,3,delivered
O100601,2025-01-26,C1187,CH,Sports,116.15,2,delivered
O100536,2025-01-26,C1214,CH,Sports,126.74,3,delivered
O101035,2025-01-26,C1061,CH,Sports,54.96,2,delivered
O102628,2025-01-26,C2439,DE,Electronics,69.05,1,delivered
O101336,2025-01-26,C1050,IT,Fashion,18.37,1,delivered
O102144,2025-01-26,C1239,CH,Sports,78.35,2,delivered
O104534,2025-01-26,C1043,DE,Sports,26.55,3,delivered
O102886,2025-01-27,C2125,CH,Fashion,12.9,2,delivered
O102771,2025-01-27,C2421,FR,Electronics,127.92,2,delivered
O100930,2025-01-27,C1469,DE,Sports,139.1,3,returned
O104544,2025-01-27,C2536,FR,Electronics,379.27,2,delivered
O102454,2025-01-27,C1783,CH,Books,17.71,3,delivered
O102604,2025-01-27,C1187,CH,Electronics,205.16,1,delivered
O101182,2025-01-27,C1014,DE,Fashion,24.42,2,delivered
O101454,2025-01-27,C2744,AT,Fashion,207.96,1,cancelled
O104175,2025-01-27,C2736,AT,Fashion,29.57,1,delivered
O104047,2025-01-27,C1927,CH,Home,61.97,3,delivered
O104256,2025-01-27,C1570,CH,Home,51.88,1,delivered
O103805,2025-01-27,C2356,CH,Books,7.73,3,cancelled
O102888,2025-01-28,C1584,CH,Electronics,1358.34,2,delivered
O101793,2025-01-28,C2563,IT,Home,54.6,1,returned
O100493,2025-01-28,C1777,DE,Electronics,226.89,3,delivered
O101685,2025-01-28,C2426,AT,Fashion,74.57,1,delivered
O104944,2025-01-28,C1582,FR,Home,85.74,1,delivered
O100439,2025-01-28,C1598,AT,Books,16.74,3,delivered
O104981,2025-01-28,C2616,CH,Books,14.82,1,delivered
O103376,2025-01-28,C1449,CH,Electronics,54.78,1,delivered
O104648,2025-01-29,C1553,DE,Home,192.11,1,delivered
O100832,2025-01-29,C1402,DE,Electronics,210.82,2,delivered
O102595,2025-01-29,C1508,DE,Sports,154.37,2,delivered
O102057,2025-01-29,C2422,IT,Home,41.18,1,delivered
O102422,2025-01-29,C2500,DE,Home,62.48,2,delivered
O104937,2025-01-29,C2341,CH,Fashion,29.54,3,delivered
O103743,2025-01-29,C1567,DE,Home,31.82,3,cancelled
O101113,2025-01-29,C1805,DE,Home,85.52,2,delivered
O101005,2025-01-29,C2402,FR,Fashion,50.75,3,delivered
O104996,2025-01-29,C2455,CH,Sports,63.64,3,delivered
O101483,2025-01-29,C1465,AT,Sports,30.97,3,delivered
O103363,2025-01-30,C1244,DE,Fashion,13.9,1,cancelled
O104584,2025-01-30,C1427,CH,Books,15.66,2,delivered
O101478,2025-01-30,C2227,FR,Electronics,279.01,1,delivered
O101759,2025-01-30,C2307,DE,Home,71.18,1,delivered
O103459,2025-01-30,C2019,DE,Sports,72.07,3,delivered
O103010,2025-01-30,C1862,CH,Home,25.34,1,cancelled
O104809,2025-01-31,C2038,CH,Books,15.01,1,delivered
O104845,2025-01-31,C1437,CH,Fashion,70.76,3,delivered
O102561,2025-01-31,C1056,CH,Fashion,75.53,1,returned
O100715,2025-01-31,C1635,CH,Electronics,754.71,1,delivered
O104492,2025-01-31,C2010,CH,Home,14.85,2,delivered
O102804,2025-01-31,C2672,DE,Home,27.9,1,delivered
O100285,2025-01-31,C2247,CH,Books,17.88,2,delivered
O103362,2025-02-01,C2661,CH,Home,38.0,1,delivered
O101541,2025-02-01,C1837,CH,Home,183.28,2,delivered
O102645,2025-02-01,C1249,FR,Sports,95.83,2,delivered
O101375,2025-02-01,C1159,CH,Fashion,40.16,1,delivered
O104039,2025-02-01,C1312,CH,Books,16.46,3,delivered
O100667,2025-02-01,C1166,DE,Electronics,331.9,2,delivered
O102982,2025-02-01,C2121,DE,Electronics,60.09,1,delivered
O102867,2025-02-02,C1081,CH,Home,80.54,2,delivered
O102999,2025-02-02,C2161,AT,Home,242.54,3,delivered
O103105,2025-02-02,C1934,CH,Fashion,28.79,1,delivered
O104591,2025-02-02,C2518,IT,Home,86.83,3,delivered
O102756,2025-02-02,C2491,CH,Electronics,544.77,2,delivered
O103108,2025-02-02,C2315,CH,Sports,50.34,1,cancelled
O100105,2025-02-03,C1141,IT,Sports,179.0,3,delivered
O100481,2025-02-03,C1182,FR,Sports,96.99,3,delivered
O104853,2025-02-03,C2002,FR,Electronics,926.85,1,delivered
O100448,2025-02-03,C1762,CH,Home,28.15,1,delivered
O100538,2025-02-03,C2093,CH,Books,21.68,1,delivered
O102935,2025-02-04,C2172,CH,Home,71.35,2,delivered
O103454,2025-02-04,C1472,CH,Home,56.5,2,delivered
O101533,2025-02-04,C1307,CH,Books,19.37,2,delivered
O102476,2025-02-04,C1396,FR,Sports,47.61,1,delivered
O103938,2025-02-04,C1443,CH,Electronics,377.99,1,delivered
O104204,2025-02-05,C2661,CH,Home,79.78,3,delivered
O104833,2025-02-05,C1771,CH,Books,11.48,3,delivered
O100979,2025-02-05,C1888,DE,Sports,43.23,2,delivered
O100518,2025-02-05,C1523,AT,Electronics,329.77,1,delivered
O103852,2025-02-05,C2777,DE,Sports,34.46,2,delivered
O102149,2025-02-05,C2143,DE,Electronics,155.55,3,delivered
O103490,2025-02-06,C1228,IT,Books,23.53,3,delivered
O103219,2025-02-06,C1623,FR,Fashion,20.7,2,delivered
O100498,2025-02-06,C1821,FR,Electronics,136.41,1,delivered
O101726,2025-02-06,C2204,FR,Fashion,18.13,3,delivered
O102005,2025-02-06,C2309,CH,Home,60.99,2,delivered
O102303,2025-02-06,C2475,CH,Home,13.5,2,returned
O104091,2025-02-07,C1810,DE,Books,10.87,3,delivered
O104325,2025-02-07,C2329,CH,Books,16.15,1,delivered
O100570,2025-02-07,C1662,IT,Fashion,86.33,2,delivered
O101794,2025-02-07,C1870,CH,Electronics,778.11,1,delivered
O104460,2025-02-07,C2091,DE,Home,127.05,2,delivered
O103345,2025-02-07,C2519,DE,Books,16.52,2,returned
O100225,2025-02-07,C2360,DE,Fashion,22.42,3,delivered
O102736,2025-02-07,C1557,DE,Home,95.74,3,delivered
O104508,2025-02-07,C2075,FR,Sports,33.69,2,returned
O104320,2025-02-08,C1784,DE,Electronics,363.9,2,delivered
O101589,2025-02-08,C1356,IT,Fashion,100.61,2,delivered
O103266,2025-02-08,C1230,DE,Books,15.82,3,delivered
O104228,2025-02-08,C2410,DE,Electronics,105.85,1,delivered
O100133,2025-02-08,C1620,DE,Electronics,483.45,1,delivered
O104969,2025-02-08,C2653,FR,Fashion,34.53,1,delivered
O101710,2025-02-08,C1455,CH,Fashion,107.95,3,delivered
O102421,2025-02-08,C2401,DE,Books,13.25,1,delivered
O100383,2025-02-08,C2398,DE,Fashion,48.11,3,delivered
O101456,2025-02-08,C1887,CH,Fashion,42.46,3,delivered
O101169,2025-02-08,C2538,CH,Fashion,52.67,2,delivered
O102770,2025-02-08,C1411,IT,Books,22.91,1,delivered
O103922,2025-02-09,C2068,IT,Fashion,56.26,3,delivered
O101496,2025-02-09,C1046,DE,Fashion,38.42,2,cancelled
O102706,2025-02-09,C2744,CH,Home,41.06,2,delivered
O102371,2025-02-09,C2104,CH,Fashion,41.05,2,delivered
O103922,2025-02-09,C2068,IT,Fashion,56.26,3,delivered
O100704,2025-02-10,C2691,CH,Sports,33.45,1,delivered
O104011,2025-02-10,C1386,CH,Fashion,29.03,1,delivered
O100602,2025-02-10,C2058,DE,Fashion,51.81,1,delivered
O103373,2025-02-10,C2355,CH,Books,28.33,1,delivered
O101782,2025-02-10,C1924,FR,Sports,76.31,3,delivered
O101250,2025-02-10,C1918,AT,Fashion,46.88,2,delivered
O104400,2025-02-10,C1433,DE,Fashion,32.58,2,delivered
O103539,2025-02-11,C1129,IT,Electronics,87.69,1,delivered
O101507,2025-02-11,C1350,IT,Electronics,416.57,1,delivered
O103368,2025-02-11,C1175,IT,Sports,85.73,1,delivered
O104191,2025-02-11,C1611,CH,Home,168.56,1,delivered
O101243,2025-02-11,C2662,DE,Fashion,46.92,2,delivered
O100275,2025-02-11,C1269,IT,Books,28.98,3,delivered
O104237,2025-02-11,C2078,CH,Home,130.55,1,delivered
O100641,2025-02-11,C2659,CH,Fashion,52.03,3,delivered
O100177,2025-02-11,C2421,AT,Electronics,162.19,1,delivered
O101708,2025-02-11,C2217,DE,Sports,53.99,1,delivered
O100433,2025-02-11,C2458,CH,Electronics,346.4,1,delivered
O103969,2025-02-11,C2373,CH,Fashion,29.97,2,delivered
O102157,2025-02-11,C2292,AT,Home,299.42,2,delivered
O103649,2025-02-12,C2795,CH,Fashion,43.33,1,delivered
O101835,2025-02-12,C1466,DE,Books,17.92,3,delivered
O103253,2025-02-12,C2078,IT,Electronics,190.51,2,delivered
O102599,2025-02-12,C2448,DE,Fashion,49.93,3,delivered
O101158,2025-02-12,C2335,CH,Sports,73.88,1,delivered
O100212,2025-02-13,C2246,AT,Fashion,66.88,1,delivered
O103343,2025-02-13,C1368,DE,Sports,135.75,3,delivered
O100013,2025-02-13,C1826,DE,Home,98.74,1,delivered
O104731,2025-02-13,C1539,AT,Books,43.08,3,delivered
O103812,2025-02-13,C2170,AT,Sports,48.35,2,delivered
O100711,2025-02-13,C1909,IT,Home,83.1,3,delivered
O104993,2025-02-14,C1622,FR,Home,155.64,1,delivered
O100479,2025-02-14,C2690,CH,Electronics,305.15,2,delivered
O101372,2025-02-14,C2076,FR,Fashion,26.7,3,delivered
O103646,2025-02-14,C2797,CH,Fashion,65.37,2,delivered
O102246,2025-02-15,C2237,CH,Books,11.76,2,delivered
O102259,2025-02-15,C2418,CH,Sports,120.39,1,delivered
O104933,2025-02-15,C1192,DE,Fashion,48.01,3,delivered
O101185,2025-02-15,C1943,FR,Home,20.07,1,delivered
O103209,2025-02-15,C1861,DE,Home,33.5,2,delivered
O100110,2025-02-15,C2138,CH,Home,45.17,1,delivered
O103737,2025-02-15,C1866,CH,Electronics,210.79,1,delivered
O104226,2025-02-15,C1188,CH,Books,31.87,2,delivered
O103483,2025-02-15,C2401,DE,Electronics,665.07,1,delivered
O104126,2025-02-15,C2003,CH,Books,14.95,1,delivered
O101185,2025-02-15,C1943,FR,Home,20.07,1,delivered
O104358,2025-02-16,C1417,DE,Books,34.53,2,delivered
O104409,2025-02-16,C1620,CH,Home,110.72,2,delivered
O102767,2025-02-16,C2626,DE,Fashion,33.5,2,delivered
O101525,2025-02-16,C1309,DE,Home,84.71,1,delivered
O102861,2025-02-16,C1032,IT,Fashion,43.43,2,delivered
O101122,2025-02-16,C1331,CH,Electronics,323.46,1,delivered
O103021,2025-02-17,C1141,DE,Fashion,25.66,2,delivered
O104959,2025-02-17,C2480,DE,Home,153.36,2,delivered
O104663,2025-02-17,C1312,DE,Electronics,61.31,1,delivered
O100296,2025-02-17,C2487,CH,Books,28.41,1,delivered
O101160,2025-02-17,C1255,CH,Fashion,33.45,3,delivered
O100074,2025-02-17,C2619,CH,Home,25.59,3,delivered
O104111,2025-02-17,C1297,IT,Fashion,63.21,3,delivered
O102809,2025-02-17,C1774,CH,Home,50.91,2,delivered
O104390,2025-02-17,C2058,IT,Fashion,140.27,2,delivered
O101213,2025-02-17,C2340,DE,Home,45.69,1,delivered
O104541,2025-02-17,C2420,CH,Electronics,168.56,1,cancelled
O103775,2025-02-17,C1186,CH,Fashion,69.98,2,delivered
O101445,2025-02-17,C1065,IT,Fashion,30.03,3,delivered
O104711,2025-02-17,C2068,DE,Electronics,79.54,2,delivered
O103794,2025-02-17,C1036,IT,Home,24.47,2,delivered
O101505,2025-02-18,C2564,DE,Fashion,39.74,2,delivered
O100235,2025-02-18,C1987,CH,Fashion,47.73,2,delivered
O103213,2025-02-18,C1944,CH,Electronics,210.73,2,delivered
O102542,2025-02-18,C1644,IT,Fashion,52.16,2,delivered
O102633,2025-02-18,C1311,CH,Home,17.42,3,delivered
O101412,2025-02-18,C2191,FR,Fashion,15.69,2,delivered
O102329,2025-02-18,C2296,DE,Sports,28.2,2,delivered
O101501,2025-02-19,C2120,CH,Home,30.4,3,delivered
O103636,2025-02-19,C1372,DE,Fashion,42.96,1,delivered
O101205,2025-02-19,C2027,FR,Books,18.57,3,delivered
O100471,2025-02-19,C1721,IT,Sports,43.17,3,delivered
O104740,2025-02-19,C2063,CH,Books,12.33,2,delivered
O104776,2025-02-19,C1851,DE,Electronics,155.95,1,delivered
O100552,2025-02-19,C1976,FR,Home,38.45,2,delivered
O102511,2025-02-19,C1089,DE,Home,43.48,1,delivered
O100988,2025-02-19,C2225,DE,Home,133.42,3,delivered
O101593,2025-02-20,C2308,CH,Electronics,518.58,3,returned
O103861,2025-02-20,C2167,DE,Home,110.77,3,delivered
O101949,2025-02-20,C1854,CH,Electronics,287.5,2,delivered
O101167,2025-02-20,C2125,CH,Sports,62.51,1,delivered
O102841,2025-02-20,C1799,DE,Electronics,164.08,3,delivered
O103303,2025-02-20,C2188,CH,Home,39.89,3,delivered
O101326,2025-02-20,C1476,FR,Books,13.74,2,delivered
O100188,2025-02-20,C1467,CH,Fashion,34.36,1,delivered
O100458,2025-02-20,C2404,CH,Fashion,18.43,3,delivered
O104210,2025-02-20,C2333,CH,Fashion,114.83,3,delivered
O104509,2025-02-21,C2106,IT,Electronics,249.77,1,delivered
O102713,2025-02-21,C1042,DE,Electronics,58.55,3,delivered
O104573,2025-02-21,C1826,DE,Fashion,24.61,1,delivered
O101873,2025-02-21,C1590,DE,Books,9.44,1,delivered
O104800,2025-02-21,C1891,IT,Books,21.96,1,delivered
O103270,2025-02-21,C2017,FR,Fashion,63.81,2,returned
O103524,2025-02-21,C2792,DE,Sports,81.18,3,delivered
O100804,2025-02-21,C1575,AT,Electronics,1190.16,1,returned
O103271,2025-02-21,C2745,AT,Home,198.25,1,delivered
O100264,2025-02-21,C1375,CH,Home,35.23,2,delivered
O100065,2025-02-21,C1718,CH,Electronics,251.61,3,delivered
O101573,2025-02-21,C1483,AT,Fashion,62.69,3,delivered
O104056,2025-02-22,C2739,DE,Home,94.96,2,delivered
O101251,2025-02-22,C2118,IT,Fashion,97.86,3,delivered
O104655,2025-02-23,C1311,CH,Fashion,28.69,1,delivered
O100265,2025-02-23,C1462,FR,Home,42.34,3,delivered
O101786,2025-02-23,C1535,DE,Home,86.22,1,delivered
O101480,2025-02-23,C2239,DE,Home,36.09,3,delivered
O103921,2025-02-23,C1942,CH,Home,111.4,3,delivered
O100517,2025-02-23,C2340,CH,Books,10.06,1,delivered
O102858,2025-02-23,C1366,CH,Sports,56.57,1,delivered
O104714,2025-02-23,C1404,DE,Books,22.18,3,delivered
O101802,2025-02-23,C1642,FR,Home,15.43,1,delivered
O100544,2025-02-24,C1394,CH,Books,31.45,2,delivered
O104368,2025-02-24,C2062,CH,Sports,157.4,2,delivered
O102730,2025-02-24,C1791,CH,Books,9.16,2,delivered
O101058,2025-02-24,C1185,FR,Books,46.95,2,delivered
O101069,2025-02-24,C1070,DE,Fashion,74.52,2,delivered
